公司名称,公司地址,薪资水平,职位信息
深圳金证科技股份有限公司 ,深圳,15000-25000元/月,算法工程师
北京桔子分期电子商务有限公司 ,北京,20000-35000元/月,算法工程师
云智慧(北京)科技有限公司,北京,5000-10000元/月,算法工程师
上海二三四五网络科技有限公司,上海,18000-36000元/月,算法工程师
北京道和汇通科技发展有限公司 ,北京,15000-20000元/月,软件研发工程师
十九楼网络股份有限公司 ,杭州,20001-30000元/月,算法工程师
上海二三四五网络科技有限公司,上海,20000-40000元/月,算法工程师
北京朗视仪器有限公司 ,北京,15000-25000元/月,算法工程师
深圳市捷视飞通科技股份有限公司,深圳,15000-25000元/月,算法工程师
菲鹏生物股份有限公司,深圳,8000-15000元/月,算法工程师
湖北微模式科技发展有限公司 ,北京,40000-70000元/月,算法工程师
北京图为先科技有限公司 ,北京,15001-20000元/月,算法工程师
北京五八信息技术有限公司 ,北京,30001-50000元/月,算法工程师
北京康斯特仪表科技股份有限公司 ,北京,8000-15000元/月,自动化工程师
北京晶众智慧交通科技股份有限公司 ,北京,15000-25000元/月,算法工程师
北京诺君安信息技术股份有限公司 ,北京,30001-50000元/月,IT技术/研发总监
深圳奥比中光科技有限公司 ,西安,10000-20000元/月,算法工程师
四川中电启明星信息技术有限公司 ,成都,15000-20000元/月,算法工程师
北京文安智能技术股份有限公司 ,北京,15001-20000元/月,算法工程师
北京中软万维网络技术有限公司 ,上海,15001-20000元/月,算法工程师
北京智云博盛信息技术有限公司 ,北京,10001-15000元/月,算法工程师
新奥特(北京)视频技术有限公司 ,北京,30000-50000元/月,算法工程师
北京仁光科技有限公司 ,北京,10000-20000元/月,高级软件工程师
凌云光子技术集团,北京,20000-40000元/月,算法工程师
北京惠每科技有限公司 ,杭州,15001-20000元/月,算法工程师
信和财富投资管理(北京)有限公司,北京,10000-20000元/月,算法工程师
杭州步安装饰设计工程有限公司 ,杭州,25000-50000元/月,高级软件工程师
上海猎你网络科技有限公司 ,上海,20000-30000元/月,算法工程师
北京世纪瑞尔软件有限公司 ,北京,10001-15000元/月,语音/视频/图形开发
北京中科飞鸿科技有限公司 ,北京,12000-24000元/月,算法工程师
北京军懋国兴科技股份有限公司 ,北京,15000-24000元/月,算法工程师
北京中交兴路信息科技有限公司,北京,20001-30000元/月,算法工程师
西安艾索信息技术有限公司,西安,8000-15000元/月,算法工程师
凌云光子技术集团,深圳,20001-30000元/月,算法工程师
上海智臻智能网络科技股份有限公司 ,上海,15001-20000元/月,算法工程师
广东奥普特科技股份有限公司 ,深圳,10000-18000元/月,算法工程师
北京水滴互联科技有限公司 ,北京,20000-40000元/月,算法工程师
湖北微模式科技发展有限公司 ,武汉,8000-16000元/月,算法工程师
海马汽车有限公司,重庆,8000-15000元/月,其他
北京维应科技有限责任公司 ,北京,20000-40000元/月,算法工程师
上海信而富企业管理有限公司 ,上海,16000-32000元/月,算法工程师
北京壹元影业集团有限公司 ,北京,15000-18000元/月,算法工程师
梦燃教育科技(北京)有限公司 ,北京,15000-30000元/月,算法工程师
北京裕天合生物材料科技有限公司 ,北京,10000-18000元/月,其他
北京壹元影业集团有限公司 ,北京,15000-18000元/月,算法工程师
北京东方国信科技股份有限公司 ,北京,10000-20000元/月,软件研发工程师
北京国能日新系统控制技术有限公司 ,北京,8000-16000元/月,算法工程师
北京趣加科技有限公司 ,北京,25000-50000元/月,算法工程师
宁波族谱网络科技有限公司 ,杭州,30000-50000元/月,算法工程师
上海爱数信息技术股份有限公司,上海,15001-20000元/月,算法工程师
Cheil Greater China,北京,20001-30000元/月,算法工程师
上海连尚网络科技有限公司 ,上海,30001-50000元/月,算法工程师
深圳市前海房极客网络科技有限公司 ,深圳,15000-30000元/月,算法工程师
北京天学网教育科技股份有限公司 ,北京,30001-50000元/月,软件研发工程师
河南奇酷信息技术有限公司 ,郑州,15001-20000元/月,软件研发工程师
维沃移动通信有限公司 ,深圳,25000-50000元/月,算法工程师
广州广电运通金融电子股份有限公司 ,广州,10001-15000元/月,算法工程师
浙江艾罗网络能源技术有限公司 ,武汉,7000-12000元/月,算法工程师
北京广通信达软件股份有限公司杭州分公司,武汉,10000-20000元/月,高级软件工程师
上海微创医疗器械(集团)有限公司,上海,10001-15000元/月,软件研发工程师
北京讯飞乐知行软件有限公司,北京,15000-25000元/月,算法工程师
珠海横琴极盛科技有限公司 ,上海,20000-40000元/月,算法工程师
铁将军汽车电子股份有限公司 ,深圳,20001-30000元/月,算法工程师
北京军懋国兴科技股份有限公司 ,北京,15001-20000元/月,算法工程师
极晨智道信息技术(北京)有限公司 ,北京,12000-20000元/月,算法工程师
北京国泰星云科技有限公司 ,北京,15000-30000元/月,算法工程师
北京顺源开华科技有限公司 ,北京,18000-35000元/月,算法工程师
纳沃克斯(北京)国际咨询有限公司 Networkers International,北京,30001-50000元/月,算法工程师
深圳华因康基因科技有限公司 ,深圳,10001-15000元/月,语音/视频/图形开发
维沃移动通信有限公司 ,深圳,15000-30000元/月,算法工程师
北京东润环能科技股份有限公司,北京,15001-20000元/月,算法工程师
叮当快药科技集团有限公司 ,北京,12000-24000元/月,算法工程师
北京华云慧通科技有限公司 ,杭州,12000-20000元/月,算法工程师
新浪网 ,北京,15000-30000元/月,算法工程师
北京的卢深视科技有限公司 ,合肥,10000-18000元/月,算法工程师
笨鸟社交 ,深圳,20000-40000元/月,算法工程师
悠易互通(北京)广告有限公司 ,北京,15001-25000元/月,算法工程师
意立特国际人力资源管理顾问(北京)有限公司 ,北京,50000-80000元/月,高级软件工程师
新浪网 ,北京,15001-20000元/月,算法工程师
北京智慧星光信息技术有限公司 ,北京,20000-40000元/月,算法工程师
途家网网络技术(北京)有限公司 ,上海,15000-30000元/月,高级软件工程师
老司机 ,北京,8000-15000元/月,算法工程师
中国中化集团公司 ,北京,面议,算法工程师
江河瑞通(北京)软件有限公司 ,北京,15001-20000元/月,算法工程师
上海众言网络科技有限公司 ,上海,15000-30000元/月,算法工程师
北京诺信创联科技有限公司 ,北京,15000-30000元/月,算法工程师
北京顺源开华科技有限公司 ,北京,15001-20000元/月,算法工程师
北京华力创通科技股份有限公司 ,北京,20001-30000元/月,算法工程师
北京楚天龙科技发展有限公司 ,北京,10001-15000元/月,高级软件工程师
北京金信网银金融信息服务有限公司 ,北京,10001-15000元/月,软件工程师
触景无限科技(北京)有限公司 ,北京,25000-30000元/月,算法工程师
深圳回收宝科技有限公司 ,深圳,30001-50000元/月,语音/视频/图形开发
北京明朝万达科技股份有限公司 ,北京,12000-24000元/月,算法工程师
北京华开领航科技有限责任公司 ,北京,20000-40000元/月,算法工程师
深圳回收宝科技有限公司 ,深圳,30001-50000元/月,算法工程师
北京品果科技有限公司 ,成都,15000-25000元/月,算法工程师
广东世纪晟科技有限公司 ,广州,20000-35000元/月,算法工程师
上海助安智能科技有限公司 ,上海,10001-15000元/月,算法工程师
成都品联能科技有限公司,重庆,6000-10000元/月,算法工程师
拉萨含贝医疗科技有限公司 ,南京,8001-10000元/月,高级软件工程师
深圳货拉拉科技有限公司 ,深圳,20001-30000元/月,算法工程师
咏传电子科技(上海)有限公司 ,西安,10000-20000元/月,算法工程师
深圳市科曼医疗设备有限公司 ,深圳,10000-15000元/月,医疗器械研发
深圳市智慧安防行业协会 ,杭州,30001-50000元/月,算法工程师
北京市华远集团有限公司,深圳,18000-25000元/月,语音/视频/图形开发
北京云游九州空间科技有限公司 ,北京,12000-24000元/月,软件研发工程师
迪思杰(北京)数据管理技术有限公司 ,成都,10001-15000元/月,算法工程师
北京市华远集团有限公司,北京,18000-25000元/月,语音/视频/图形开发
济南汇智电力科技有限公司 ,济南,6001-8000元/月,语音/视频/图形开发
海尔集团公司 ,西安,面议,算法工程师
上海卫健家健康技术有限公司 ,上海,15001-20000元/月,算法工程师
深圳市智慧安防行业协会 ,深圳,15000-25000元/月,算法工程师
韩都衣舍电子商务集团股份有限公司 ,济南,3000-6000元/月,算法工程师
广州市昊志机电股份有限公司 ,广州,10000-20000元/月,高级软件工程师
桥弘数控科技（上海）有限公司 ,上海,15000-30000元/月,算法工程师
深圳市锐明技术股份有限公司,重庆,15001-20000元/月,算法工程师
大唐电信无线移动创新中心 ,上海,15001-20000元/月,通信技术工程师
杭州行开科技有限公司,杭州,8000-10000元/月,语音/视频/图形开发
沈阳无距科技有限公司 ,沈阳,8001-10000元/月,软件工程师
团博百众(北京)科技有限公司 ,北京,10001-15000元/月,算法工程师
北京星客合创信息科技研究院(有限合伙) ,北京,12000-20000元/月,算法工程师
安徽科微智能科技有限公司 ,合肥,10000-20000元/月,算法工程师
杭州逐影科技有限公司 ,杭州,15000-25000元/月,软件工程师
北京微吼时代科技有限公司 ,北京,15000-25000元/月,语音/视频/图形开发
南京埃斯顿自动化股份有限公司 ,南京,8000-15000元/月,算法工程师
芜湖伯特利汽车安全系统股份有限公司 ,芜湖,5000-10000元/月,汽车电子工程师
中国科学院声学研究所 ,北京,9000-18000元/月,科研人员
中电海康无锡科技有限公司 ,无锡,12000-20000元/月,算法工程师
盛视科技股份有限公司 ,武汉,15000-30000元/月,算法工程师
国网信息通信产业集团有限公司,北京,20000-40000元/月,通信研发工程师
北京思朗科技有限责任公司 ,北京,2001-4000元/月,软件研发工程师
上海挚飞信息科技有限公司 ,上海,20001-30000元/月,算法工程师
北京市慧溢科技有限公司 ,北京,6001-8000元/月,高级软件工程师
深圳前海川谷信息技术有限公司 ,北京,15000-30000元/月,其他
爱国者电子科技有限公司,北京,15000-30000元/月,算法工程师
北京星客合创信息科技研究院(有限合伙) ,北京,15000-25000元/月,算法工程师
真玫智能科技（深圳）有限公司 ,深圳,15000-30000元/月,算法工程师
深圳市三诺数字科技有限公司 ,深圳,18000-36000元/月,算法工程师
北京江达锐通信息咨询有限公司 ,北京,30001-50000元/月,算法工程师
游瑞世纪(北京)管理咨询有限公司 ,北京,30001-50000元/月,算法工程师
迪瑞医疗科技股份有限公司 ,长春,5000-8000元/月,算法工程师
北京辰森世纪科技股份有限公司 ,济南,10000-20000元/月,算法工程师
山东旋几工业自动化有限公司 ,济南,8000-16000元/月,算法工程师
北京星客合创信息科技研究院(有限合伙) ,北京,28000-35000元/月,算法工程师
深圳尚睿达信息技术有限公司 ,东莞,10001-15000元/月,电信网络工程师
杭州海康威视数字技术股份有限公司,上海,15001-20000元/月,嵌入式软件开发
博西华电器（江苏）有限公司 ,南京,面议,嵌入式软件开发
埃森哲(中国)有限公司 ,大连,面议,高级软件工程师
深圳市奇诺动力科技有限公司 ,深圳,12000-18000元/月,算法工程师
中兵通信科技股份有限公司北京分公司 ,北京,8000-15000元/月,高级软件工程师
北京经纬恒润科技有限公司海淀分公司 ,上海,7000-11000元/月,算法工程师
维沃移动通信有限公司 ,杭州,30001-50000元/月,算法工程师
北京华睿慧脑科技中心(有限合伙) ,北京,20000-40000元/月,算法工程师
雷象科技(北京)有限公司 ,北京,15000-30000元/月,算法工程师
恒润科技 ,北京,10001-15000元/月,其他
北京壹码科技有限公司 ,北京,8000-12000元/月,软件工程师
诸城市睿捷企业管理咨询有限公司 ,泰安,30001-50000元/月,算法工程师
广州华工邦元信息技术有限公司 ,广州,10000-20000元/月,算法工程师
苏州博田自动化技术有限公司 ,苏州,10001-15000元/月,算法工程师
北京华龙通科技有限公司 ,北京,15000-25000元/月,通信研发工程师
深圳海岸语音技术有限公司 ,深圳,20000-35000元/月,算法工程师
合肥晟泰克汽车电子股份有限公司 ,合肥,20001-30000元/月,无线/射频通信工程师
河南奇酷信息技术有限公司 ,郑州,15001-20000元/月,高级软件工程师
南京轻搜信息科技有限公司 ,南京,15000-20000元/月,算法工程师
维高时代(北京)科技有限公司 ,北京,7000-14000元/月,高级硬件工程师
武汉固胜科技有限公司 ,武汉,10000-18000元/月,嵌入式硬件开发
青岛童程童美科技有限公司 ,青岛,6001-8000元/月,算法工程师
上海怡瑞投资管理咨询有限公司 ,成都,20000-40000元/月,算法工程师
河南信大煜坤智能科技有限公司 ,郑州,10000-20000元/月,算法工程师
北京华龙通科技有限公司 ,北京,15001-20000元/月,通信研发工程师
北极星云空间技术股份有限公司 ,成都,15001-20000元/月,算法工程师
武汉找道科技有限公司 ,武汉,5000-10000元/月,算法工程师
河南信大煜坤智能科技有限公司 ,郑州,10000-20000元/月,算法工程师
北京欧百拓信息科技发展有限公司 ,北京,10000-20000元/月,算法工程师
成都思鸿维科技有限责任公司 ,成都,4000-8000元/月,嵌入式软件开发
成都蔚来空间科技有限公司 ,成都,12000-16000元/月,算法工程师
史陶比尔（杭州）精密机械电子有限公司 ,杭州,10000-20000元/月,算法工程师
北京度量科技有限公司 ,北京,7000-12000元/月,算法工程师
武汉江蓉智能工程有限公司 ,武汉,8000-15000元/月,算法工程师
福建华网信息科技有限公司 ,福州,10001-15000元/月,算法工程师
成都微核科技股份有限公司,成都,8000-15000元/月,硬件工程师
常州锐进企业管理咨询有限公司 ,上海,15000-30000元/月,高级软件工程师
兰州云脉智能科技有限公司 ,兰州,6000-12000元/月,通信研发工程师
上海赤犬投资管理有限公司 ,北京,50000-70000元/月,算法工程师
北京华龙通科技有限公司 ,北京,15001-20000元/月,通信研发工程师
湖南迈克森伟电子科技有限公司 ,长沙,12000-20000元/月,通信研发工程师
上海同岩土木工程科技股份有限公司 ,上海,8000-15000元/月,算法工程师
北京航天无人机系统工程研究所 ,北京,6001-8000元/月,飞机设计与制造
杭州逐影科技有限公司 ,杭州,20000-35000元/月,销售总监
浙江大学 ,杭州,6000-12000元/月,算法工程师
北京航天无人机系统工程研究所 ,北京,8001-10000元/月,算法工程师
北京机电工程研究所 ,北京,10000-20000元/月,算法工程师
杭州灵西智能科技有限公司 ,杭州,15000-30000元/月,算法工程师
北京达佳互联信息技术有限公司 ,北京,15000-30000元/月,算法工程师
一诺仪器(中国)有限公司 ,青岛,70001-100000元/月,软件工程师
广州探迹科技有限公司 ,广州,10000-20000元/月,算法工程师
史陶比尔（杭州）精密机械电子有限公司 ,杭州,10000-20000元/月,算法工程师
上海东普信息科技有限公司 ,上海,10000-18000元/月,其他
南昌欧菲光科技有限公司 ,南昌,10001-15000元/月,算法工程师
中科芯未来微电子科技成都有限公司 ,成都,6000-12000元/月,算法工程师
山西优逸客科技有限公司 ,太原,10001-15000元/月,算法工程师
北京瓴岳信息技术有限公司 ,北京,15000-30000元/月,算法工程师
杭州灵西智能科技有限公司 ,杭州,20000-40000元/月,算法工程师
苏州派维斯信息科技有限公司 ,苏州,5000-9000元/月,算法工程师
咏传电子科技(上海)有限公司 ,西安,15000-30000元/月,算法工程师
南京唯实科技有限公司 ,南京,10001-15000元/月,软件研发工程师
杭州曼安智能科技有限公司 ,杭州,8000-15000元/月,软件工程师
洛阳智能农业装备研究院有限公司 ,洛阳,4000-7000元/月,算法工程师
北京华龙通科技有限公司 ,北京,15001-20000元/月,通信研发工程师
中兴软创科技股份有限公司 ,南京,15000-30000元/月,算法工程师
得理电子(上海)有限公司 ,上海,8001-10000元/月,电子技术研发工程师
西安黄邺通信技术有限公司 ,西安,10001-15000元/月,算法工程师
阿里巴巴集团 ,杭州,面议,算法工程师
宁波爱班信息技术有限公司 ,上海,15001-20000元/月,算法工程师
深圳市大寰机器人科技有限公司 ,深圳,15000-25000元/月,仿真应用工程师
真玫智能科技（深圳）有限公司 ,深圳,15000-30000元/月,算法工程师
安徽科微智能科技有限公司 ,合肥,10000-20000元/月,算法工程师
深圳市道通智能航空技术有限公司 ,西安,15000-30000元/月,算法工程师
北京华夏视科技术股份有限公司 ,北京,10001-15000元/月,算法工程师
广州尚医网信息技术有限公司 ,桂林,8000-16000元/月,算法工程师
小立教育科技(北京)有限公司 ,北京,20000-40000元/月,高级软件工程师
大唐电信无线移动创新中心 ,北京,15001-20000元/月,通信技术工程师
北京正和之道科技有限公司 ,北京,20001-30000元/月,算法工程师
深圳市天马资产管理有限公司 ,深圳,15000-25000元/月,算法工程师
无锡天昊华芯管理咨询有限公司 ,北京,20001-30000元/月,通信研发工程师
纵目科技(上海)股份有限公司 ,上海,20000-30000元/月,算法工程师
北京深知无限人工智能研究院有限公司 ,北京,25000-40000元/月,算法工程师
深圳市慧大成智能科技有限公司 ,深圳,10000-20000元/月,软件研发工程师
哈尔滨安天科技集团股份有限公司 ,哈尔滨,6000-10000元/月,算法工程师
广州极飞科技有限公司 ,广州,10000-20000元/月,算法工程师
银星投资集团有限公司 ,深圳,15000-30000元/月,算法工程师
青岛民航凯亚系统集成有限公司 ,青岛,10000-20000元/月,算法工程师
济南观澜数据技术有限公司 ,济南,8000-16000元/月,算法工程师
深圳灵图慧视科技有限公司 ,深圳,15001-20000元/月,算法工程师
武汉找道科技有限公司 ,武汉,3000-5000元/月,算法工程师
深圳腾尚时代信息科技有限公司,深圳,10001-15000元/月,算法工程师
广州酷狗计算机科技有限公司 ,广州,20000-30000元/月,算法工程师
深圳市朗驰欣创科技股份有限公司成都分公司 ,成都,13000-18000元/月,算法工程师
惠龙易通国际物流股份有限公司,镇江,8000-16000元/月,算法工程师
上海旭诺资产管理有限公司 ,上海,30001-50000元/月,算法工程师
河北中科恒运软件科技股份有限公司,石家庄,15001-20000元/月,算法工程师
北京声加科技有限公司 ,北京,25000-50000元/月,语音/视频/图形开发
广州麦仑信息科技有限公司 ,广州,10000-20000元/月,算法工程师
广东奥普特科技股份有限公司 ,广州,10000-18000元/月,算法工程师
成都思晗科技股份有限公司 ,成都,14000-17000元/月,算法工程师
杭州迅蚁网络科技有限公司 ,北京,15000-30000元/月,算法工程师
弗徕威智能机器人科技(上海)有限公司,深圳,15000-20000元/月,算法工程师
北京云游九州空间科技有限公司 ,北京,15000-30000元/月,算法工程师
北京清能互联科技有限公司 ,杭州,10000-20000元/月,算法工程师
一诺仪器(中国)有限公司 ,青岛,100001-150000元/月,通信技术工程师
中国电子科技集团公司第二十八研究所 ,南京,15001-20000元/月,高级软件工程师
珠海全志科技股份有限公司 ,珠海,15000-30000元/月,算法工程师
深圳市智慧安防行业协会 ,杭州,20001-30000元/月,算法工程师
北京天远三维科技股份有限公司 ,天津,10001-15000元/月,算法工程师
河南奇酷信息技术有限公司 ,郑州,10001-15000元/月,算法工程师
和芯星通科技(北京)有限公司 ,上海,9000-12000元/月,通信研发工程师
青岛汇安谷科技发展有限公司 ,青岛,8000-15000元/月,算法工程师
天津微视博特科技有限公司 ,天津,12000-15000元/月,算法工程师
北京寰宇声望智能科技有限公司 ,北京,6001-8000元/月,软件工程师
福州鑫图光电有限公司 ,成都,10000-15000元/月,软件研发工程师
北京中天荣泰科技发展有限公司 ,北京,12000-22000元/月,自动化工程师
安徽科微智能科技有限公司 ,合肥,10000-20000元/月,算法工程师
重庆西信天元数据资讯有限公司 ,重庆,8000-12000元/月,算法工程师
四川安洵信息技术有限公司 ,成都,3000-6000元/月,算法工程师
芜湖伯特利汽车安全系统股份有限公司 ,芜湖,5000-10000元/月,汽车电子工程师
杭州逐影科技有限公司 ,杭州,50001-70000元/月,算法工程师
中科芯集成电路股份有限公司,武汉,8000-12000元/月,电子技术研发工程师
国科天成(北京)科技有限公司 ,北京,15001-20000元/月,软件工程师
深圳市道通智能航空技术有限公司 ,西安,15000-25000元/月,算法工程师
无限向量(北京)科技有限公司 ,北京,30001-50000元/月,软件研发工程师
泰邦泰平科技(北京)有限公司 ,北京,18000-25000元/月,语音/视频/图形开发
广东奥普特科技股份有限公司 ,广州,10000-20000元/月,算法工程师
一诺仪器(中国)有限公司 ,西安,100001-150000元/月,通信技术工程师
北京睿动体育服务有限公司 ,北京,15001-20000元/月,算法工程师
武汉武大卓越科技有限责任公司 ,武汉,10001-15000元/月,软件工程师
上海艾瑞德生物科技有限公司 ,上海,10001-15000元/月,算法工程师
上海卫健家健康技术有限公司 ,上海,15001-20000元/月,算法工程师
深圳硅基仿生科技有限公司 ,深圳,13000-26000元/月,算法工程师
中诚信征信有限公司 ,北京,15000-30000元/月,算法工程师
西安本根科技有限公司 ,西安,15001-20000元/月,算法工程师
广州市华科尔科技股份有限公司 ,广州,10001-15000元/月,语音/视频/图形开发
成都融智汽车服务有限公司,成都,10001-15000元/月,C语言开发工程师
北京中矿华沃科技股份有限公司 ,北京,20001-30000元/月,语音/视频/图形开发
上海汇纳信息科技股份有限公司 ,广州,10001-15000元/月,算法工程师
大唐移动通信设备有限公司 ,北京,12000-20000元/月,系统工程师
北京爱其科技有限公司石家庄分公司 ,北京,15001-20000元/月,算法工程师
北京全电智领科技有限公司 ,北京,15000-25000元/月,算法工程师
科大讯飞股份有限公司,合肥,12000-20000元/月,软件研发工程师
太极计算机股份有限公司 ,北京,9000-15000元/月,其他
广州玖维信息科技有限公司 ,西安,4001-6000元/月,软件研发工程师
科大讯飞股份有限公司,合肥,12000-20000元/月,软件研发工程师
惠龙易通国际物流股份有限公司,南京,8000-16000元/月,算法工程师
大唐联诚信息系统技术有限公司 ,北京,10000-20000元/月,其他
埃森哲(中国)有限公司 ,深圳,面议,软件研发工程师
Michael Page ,上海,面议,信息技术专员
江苏润和软件股份有限公司 ,南京,30000-40000元/月,算法工程师
杭州海康威视数字技术股份有限公司,杭州,15001-20000元/月,算法工程师
同程艺龙 ,上海,15001-20000元/月,语音/视频/图形开发
中华通信系统有限责任公司 ,北京,30001-50000元/月,高级软件工程师
广联达科技股份有限公司,北京,13000-25000元/月,高级软件工程师
瀚天科技城 ,佛山,5000-10000元/月,算法工程师
Michael Page ,广州,面议,IT技术支持/维护工程师
浙江大华技术股份有限公司,杭州,面议,算法工程师
南京长峰航天电子科技有限公司 ,南京,6000-10000元/月,算法工程师
同程艺龙 ,上海,25000-40000元/月,算法工程师
南京长峰航天电子科技有限公司 ,南京,10001-15000元/月,算法工程师
阿里巴巴集团 ,杭州,面议,其他
阿里巴巴集团 ,杭州,面议,算法工程师
北京锐安科技有限公司 ,北京,15000-30000元/月,算法工程师
影像图(厦门)信息科技有限公司 ,深圳,15001-20000元/月,软件研发工程师
普联技术有限公司 ,深圳,10000-20000元/月,算法工程师
北京睿思奥图智能科技有限公司 ,北京,15000-25000元/月,算法工程师
北京大汉正源科技有限公司 ,北京,14000-28000元/月,算法工程师
京东商城总部技术 ,北京,面议,算法工程师
纳通医疗集团,北京,15000-20000元/月,系统架构设计师
深圳市天英联合教育股份有限公司,深圳,10001-15000元/月,软件工程师
济南中维世纪科技有限公司,济南,8000-15000元/月,算法工程师
真玫智能科技（深圳）有限公司 ,深圳,10000-20000元/月,仿真应用工程师
得理电子(上海)有限公司 ,上海,10001-15000元/月,算法工程师
北京北大英华科技有限公司 ,北京,30001-50000元/月,算法工程师
济南迅捷万通科技发展有限公司 ,西安,8000-15000元/月,软件工程师
河南奇酷信息技术有限公司 ,南京,10001-15000元/月,软件工程师
上海直真君智科技有限公司 ,无锡,13000-25000元/月,算法工程师
河南信大煜坤智能科技有限公司 ,郑州,10000-20000元/月,算法工程师
北京卓衍信息技术有限公司 ,北京,18000-23000元/月,算法工程师
北京芯合科技有限公司 ,北京,15000-30000元/月,算法工程师
四川沃文特生物技术有限公司 ,成都,6000-10000元/月,算法工程师
北京九天微星科技发展有限公司 ,成都,10000-15000元/月,通信技术工程师
钧云(上海)网络科技有限公司,北京,15000-25000元/月,算法工程师
南京易纹兴智能科技有限公司 ,南京,4000-8000元/月,算法工程师
咏传电子科技(上海)有限公司 ,西安,10000-20000元/月,算法工程师
征图新视(江苏)科技有限公司 ,常州,7000-10000元/月,算法工程师
试金石信用服务有限公司 ,深圳,20000-40000元/月,算法工程师
北京华媒康讯信息技术有限公司 ,北京,20000-30000元/月,算法工程师
新博医疗技术有限公司 ,北京,15001-20000元/月,算法工程师
幻方量化 ,杭州,33000-66000元/月,算法工程师
京东商城总部技术 ,北京,面议,算法工程师
真玫智能科技（深圳）有限公司 ,深圳,15000-30000元/月,软件研发工程师
北京灵汐科技有限公司 ,北京,30000-60000元/月,算法工程师
华为技术有限公司 ,上海,面议,其他
江苏润和软件股份有限公司 ,南京,30000-40000元/月,算法工程师
上海金卓网络科技有限公司 ,上海,10000-20000元/月,其他
上海眼控科技股份有限公司 ,上海,20000-40000元/月,算法工程师
深圳市世方商业地产顾问有限公司,深圳,20001-30000元/月,算法工程师
清研讯科(北京)科技有限公司 ,北京,15000-30000元/月,算法工程师
杭州逐影科技有限公司 ,杭州,30001-50000元/月,算法工程师
北京布润科技有限责任公司 ,北京,15000-25000元/月,算法工程师
山东海天智能工程有限公司 ,泰安,6000-12000元/月,算法工程师
北京柏惠维康科技有限公司 ,北京,12000-20000元/月,算法工程师
河南奇酷信息技术有限公司 ,广州,10001-15000元/月,算法工程师
新大陆科技集团有限公司,福州,9000-18000元/月,软件工程师
北京修齐治平科技有限公司 ,广州,18000-25000元/月,语音/视频/图形开发
北京经纬恒润科技有限公司海淀分公司 ,北京,8000-16000元/月,算法工程师
北京知行易航智能科技有限公司 ,北京,20001-30000元/月,其他
华大基因 ,青岛,8001-10000元/月,IT项目执行/协调人员
北京热麦通达科技有限公司 ,北京,15001-20000元/月,算法工程师
北京联合天成价值网络科技有限公司 ,北京,15001-20000元/月,算法工程师
青松智慧(北京)科技有限公司 ,北京,25000-50000元/月,算法工程师
北京轻威科技有限责任公司 ,北京,15000-25000元/月,算法工程师
山东泰开电力电子有限公司 ,泰安,6000-10000元/月,电气工程师
北京道亨时代科技有限公司 ,北京,10000-15000元/月,算法工程师
联想新视界(北京)科技有限公司 ,北京,15000-30000元/月,其他
北京山和朋友们科技有限公司 ,北京,20000-30000元/月,算法工程师
中国科学院沈阳自动化研究所,沈阳,8000-11000元/月,科研人员
深圳尚睿达信息技术有限公司 ,东莞,8001-10000元/月,CNC/数控工程师
北京知行易航智能科技有限公司 ,北京,20001-30000元/月,其他
北京热麦通达科技有限公司 ,北京,15001-20000元/月,算法工程师
上海开奈电子通讯有限公司 ,上海,10001-15000元/月,算法工程师
杭州迅蚁网络科技有限公司 ,北京,15000-30000元/月,算法工程师
南京拓控信息科技有限公司 ,南京,10001-15000元/月,算法工程师
游瑞世纪(北京)管理咨询有限公司 ,北京,30001-50000元/月,算法工程师
苏州不木网络科技有限公司 ,无锡,15001-20000元/月,电气工程师
中国科学院沈阳自动化研究所,沈阳,7000-10000元/月,科研人员
广东美的制冷设备有限公司 ,广州,面议,软件研发工程师
徐州达内信息科技有限公司 ,徐州,4001-6000元/月,算法工程师
上海乐赚互联网金融信息服务有限公司 ,上海,15000-30000元/月,算法工程师
比亚迪股份有限公司 ,深圳,18000-35000元/月,算法工程师
舜宇集团有限公司,杭州,面议,算法工程师
杭州海康威视数字技术股份有限公司,杭州,10001-15000元/月,其他
杭州海康威视数字技术股份有限公司,杭州,10001-15000元/月,其他
北京知行易航智能科技有限公司 ,北京,20001-30000元/月,其他
杭州逐影科技有限公司 ,杭州,18000-28000元/月,算法工程师
浙江明讯网络技术有限公司,郑州,8000-10000元/月,算法工程师
北京真格天成投资管理有限公司 ,杭州,15000-30000元/月,算法工程师
深圳奥比中光科技有限公司 ,西安,15000-30000元/月,算法工程师
深圳尚睿达信息技术有限公司 ,中山,10001-15000元/月,高级硬件工程师
青岛聚品电子商务有限公司 ,青岛,8000-12000元/月,算法工程师
华科精准(北京)医疗科技有限公司,北京,15001-20000元/月,算法工程师
德龙智能投顾(北京)网络科技有限公司 ,北京,20001-30000元/月,算法工程师
北京度量科技有限公司 ,北京,7000-12000元/月,算法工程师
Libratone小鸟音响 ,北京,20000-40000元/月,嵌入式软件开发
四川都睿感控科技有限公司 ,成都,10001-15000元/月,算法工程师
成都立鑫新技术科技有限公司 ,成都,12000-20000元/月,算法工程师
上海仲望企业管理咨询有限公司 ,上海,35000-55000元/月,算法工程师
北京多来点信息技术有限公司 ,北京,25000-35000元/月,算法工程师
北京真格天成投资管理有限公司 ,北京,30001-50000元/月,算法工程师
