公司名称,公司地址,薪资水平,职位信息
东华软件股份公司 ,北京,面议,算法工程师
东华软件股份公司 ,西安,面议,算法工程师
南京江北新区产业技术研创园企业专场招聘会 ,南京,8000-10000元/月,算法工程师
北京汉克时代科技有限公司 ,北京,20001-30000元/月,算法工程师
北京每日优鲜便利购电子商务有限公司 ,北京,25000-66666元/月,数据库开发工程师
东华软件股份公司 ,杭州,面议,算法工程师
中国电子科技集团公司第三十二研究所 ,上海,20001-30000元/月,算法工程师
成都达内科技有限公司武侯分公司 ,成都,2001-4000元/月,算法工程师
北京中电普华信息技术有限公司,北京,10001-15000元/月,数据库开发工程师
北京神州泰岳软件股份有限公司 ,北京,20001-30000元/月,算法工程师
上海银科创展投资集团有限公司 ,上海,15000-25000元/月,算法工程师
中视前卫影视传媒有限公司 ,北京,15000-25000元/月,算法工程师
平安科技(深圳)有限公司,南京,面议,算法工程师
中国电子科技集团公司第三十二研究所 ,上海,20001-30000元/月,算法工程师
普联技术有限公司 ,深圳,12000-24000元/月,算法工程师
上海必胜人力资源有限公司,上海,25000-50000元/月,算法工程师
北京鼎阅广告传媒有限责任公司 ,北京,30001-50000元/月,算法工程师
广州艾科网络科技有限公司 ,昆明,3000-5000元/月,WEB前端开发
北京神州泰岳软件股份有限公司 ,北京,15001-20000元/月,算法工程师
北京中电普华信息技术有限公司,北京,10001-15000元/月,算法工程师
高新兴科技集团股份有限公司 ,广州,20001-30000元/月,算法工程师
舜宇集团有限公司,中山,面议,软件工程师
同程艺龙 ,北京,18000-35000元/月,算法工程师
北京新致君阳信息技术有限公司 ,上海,15000-25000元/月,算法工程师
北京合众思壮科技股份有限公司,北京,15000-25000元/月,算法工程师
华图教育集团 ,北京,20000-40000元/月,算法工程师
北京每日优鲜便利购电子商务有限公司 ,北京,25000-50000元/月,算法工程师
普联技术有限公司 ,深圳,12000-24000元/月,算法工程师
阿里巴巴集团 ,北京,面议,算法工程师
神州数码医疗科技股份有限公司 ,北京,20001-30000元/月,算法工程师
北京五八到家信息技术有限公司 ,北京,15000-30000元/月,算法工程师
神州数码医疗科技股份有限公司 ,北京,15000-30000元/月,算法工程师
中兴软创科技股份有限公司 ,南京,8000-15000元/月,其他
Michael Page ,广州,面议,IT技术支持/维护工程师
北京金山云网络技术有限公司 ,北京,30000-40000元/月,算法工程师
上海汉得信息技术股份有限公司 ,上海,10000-20000元/月,算法工程师
神州数码医疗科技股份有限公司 ,北京,15000-30000元/月,算法工程师
上海华钦信息科技股份有限公司 ,上海,20001-30000元/月,算法工程师
深圳科士达科技股份有限公司,深圳,10001-15000元/月,高级软件工程师
同程艺龙 ,北京,10000-20000元/月,算法工程师
华为技术有限公司 ,上海,面议,通信研发工程师
华为技术有限公司 ,深圳,面议,通信技术工程师
石家庄金士顿轴承科技有限公司 ,石家庄,10000-15000元/月,机械研发工程师
南宁中软教育咨询有限公司西安分公司,西安,4001-6000元/月,算法工程师
北京壹卡行科技有限公司 ,天津,10001-15000元/月,算法工程师
上海猎你网络科技有限公司 ,上海,20001-30000元/月,WEB前端开发
北京易掌云峰科技有限公司 ,北京,15000-30000元/月,算法工程师
大连东软睿创科技发展有限公司 ,大连,4001-6000元/月,算法工程师
上海集钢电子商务有限公司 ,上海,6000-8000元/月,算法工程师
北京才秀人人科技有限公司郑州分公司 ,郑州,4001-6000元/月,算法工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
北醒(北京)光子科技有限公司 ,北京,15001-20000元/月,算法工程师
苏州优纳科技有限公司 ,苏州,8000-12000元/月,算法工程师
深圳市易尚展示股份有限公司,深圳,15001-20000元/月,算法工程师
天津中兴智联科技有限公司 ,天津,8000-12000元/月,算法工程师
上海爱数信息技术股份有限公司,上海,20001-30000元/月,算法工程师
贝壳找房 ,北京,20001-30000元/月,算法工程师
北京四维图新科技股份有限公司,沈阳,15000-30000元/月,软件工程师
北京会小二信息技术有限公司 ,北京,20000-40000元/月,算法工程师
百融金融信息服务股份有限公司 ,北京,15000-25000元/月,数据分析师
北京弗求数码科技有限公司,成都,10001-15000元/月,算法工程师
武汉光庭信息技术有限公司 ,武汉,15001-20000元/月,高级软件工程师
北京好价网络科技有限公司 ,北京,15000-30000元/月,算法工程师
中科院(合肥)技术创新工程院有限公司,合肥,5000-8000元/月,算法工程师
中星微电子有限公司 ,珠海,15000-29999元/月,电子技术研发工程师
北京多维视通技术有限公司 ,北京,10000-20000元/月,算法工程师
亿睿科信息技术(北京)有限公司 ,北京,20000-40000元/月,算法工程师
福建顶点软件股份有限公司 ,福州,10001-15000元/月,算法工程师
卓望信息技术(北京)有限公司,北京,15001-20000元/月,算法工程师
天地融科技股份有限公司,北京,15001-20000元/月,算法工程师
成都国恒空间技术工程有限公司 ,成都,10000-16000元/月,算法工程师
